Source Term	Target Term
residence time	tiempo de permanencia
gravity separation	separación por gravedad
full width at half maximum	anchura de banda a media altura
saturated hydrocarbon	hidrocarburo saturado
chain transfer agent	reactivo de transferencia de cadena
structural elucidation	elucidación de la estructura
Chemical Safety Report	ISQ
tritium	tritio
PET	tereftalato de polietileno
test tube	tubo de ensayo
HPLC-FLD	HPLC con detección de fluorescencia
restricted explosives precursor	precursor de explosivos restringido
evaporation	evaporación
qualitative method	método cualitativo
nitric acid	ácido nítrico
side chain	cadena lateral
boric acid	ácido ortobórico
halogenic hydrocarbon	halocarbono
copper sulfate pentahydrate	pentahidrato de sulfato de cobre(II)
van der Waals forces	fuerzas de Van der Waals
multi-analyte method	método multianalito
daughter ion	ion producto
electrolyser	electrolizador
liquid phase separation	separación de la fase líquida
sodium tripolyphosphate	tripolifosfato sódico
MOSH	MOSH
atom	átomo
potassium permanganate	permanganato potásico
bed	lecho
tripeptide	tripéptido
Zahn-Wellens test	prueba Zahn-Wellens
frother	sustancia espumante
relative intensity	intensidad relativa
mass chromatogram	cromatograma de iones extraídos
co-chromatography	cocromatografía
detonation	detonación
sandstone	arenisca
D-glucono-1,5-lactone	D-glucono-1,5-lactona
reference material	material de referencia
reproducibility	reproducibilidad
equilibrium constant	constante de equilibrio
natural polymer not chemically modified	polímero natural no modificado químicamente
CV	coeficiente de determinación
ferric chloride	cloruro de hierro (III)
guanosine diphosphate	guanosina difosfato
polyurethane	poliuretano
existing furnace	horno de proceso existente
digestion apparatus	aparato de digestión
hydriodic acid	ácido yodhídrico
analytical detection limit	límite de detección analítico
butylated hydroxytoluene	E 321
mass spectrophotometry	espectrometría de masa
derivatisation	derivatización
iodine value	índice de yodo
sampling	toma de muestras
factorial approach	enfoque factorial
calcination	calcinación
enzyme inhibition	inhibición enzimática
1,1-dichloroethane	1,1-dicloroetano
chloro-organic substance	compuesto organoclorado
regeneration liquid	líquido de regeneración
ion exchange	intercambio de iones
earth wax	cera de Moldavia
plexiglass	plexiglás
incomplete combustion	combustión incompleta
cyanite	cianita
non-competitive inhibition	inhibición no competitiva
distribution constant	coeficiente de distribución
dieldrin	dieldrina
fluorescence quenching	desactivación
VPVB	muy persistente y muy bioacumulable
paraformaldehyde	paraformaldehído
coacervation	coacervación
reflux	reflujo
LRMS	EMBR
liquefaction	licuefacción
pigment	pigmento
calomel electrode	electrodo de referencia de calomelanos
lactone	lactona
adenine	adenina
linolenic acid	ácido linoleico
duty holder	responsable del cumplimiento
mineral oil	aceite mineral
2-methoxy-2-methylpropane	metil-terbutiléter
glycerine	glicerina
electron ionization	ionización por impacto electrónico
polarity	polaridad
oxidation	oxidación
tert-pentyl methyl ether	TAME
ethylene	eteno
gravitational settling	sedimentación gravitacional
extrapolation	extrapolación
peat wax	cera de turba
stoichiometric mixture	mezcla estequiométrica
platelet	plaquita
chalk	carbonato de calcio
MALDI	MALDI
excitation wavelength	longitud de onda de excitación
coenzyme	coenzima
zwitterion	ión anfótero
beryl	berilo
hydraulic lime	cal hidráulica
mass spectrometer	espectrómetro de masas
wool wax	grasa de lana
hydrochlorofluorocarbon	(hidro)clorofluorocarburo
sampling point	punto de muestreo
uridine	uridina
sodium lauryl sulfate	dodecilsulfato de sodio
nanomaterial	nanomaterial
analytical portion	porción de ensayo
reducing agent	reductor
chlorinated hydrocarbon	compuestos de organocloro
chlorine-containing substance	compuesto clorado
true positive	verdadero positivo
SFE	EFS
atmospheric nitrogen	gas nitrógeno
marble	mármol
nitrite	nitrito
qualifier ion	ión cualificador
reduction	reducción
2D gel electrophoresis	electroforesis bidimensional en gel
chicken meat	pollo
stoichiometry	estequiometría
solute	soluto
precision	precisión
bromocresol purple	púrpura de bromocresol
HPLC-DAD	cromatografía líquida con detección por diodos en serie
ion-exchange polymer	resina de intercambio iónico
absorbable organichalogenated compounds	sustancias organohalogenadas adsorbibles
polychlorodibenzofuran	PCDF
standard analyte	analito patrón
condenser	condensador
minimum detectable value of the net state variable	valor mínimo detectable de la variable de estado neto
gravel	grava
total emissions	emisiones totales
plastisol	plastisol
reduced sample	muestra reducida
mass spectrometry	espectroscopia de masas
inductively coupled plasma atomic emission spectroscopy	ICP-AES
SMILES	SMILES
ferrous salt	sal ferrosa
molecular fluorine	flúor
standard addition	adición de patrón
reference state	estado de referencia
macadam	macadán
endo-1,4-beta-xylanase	endo-1,4-beta-xilanasa
adduct ion	ion aducto
biological oxidation	biooxidación
nuclide	núclido
stickiness	pegajosidad
bioanalytical equivalent	equivalente bioanalítico
DT	desolventador-tostador
Orbitrap	Orbitrap
aniline	anilina
polyolefin	poliolefina
pentachlorophenol	pentaclorofenol
standard volumetric solution	solución volumétrica
curing oven	horno de curado
tert-hexyl methyl ether	tert-hexil metil éter
sulfamide	sulfamida
glass transition	transición vítrea
